model,fold,accuracy,macro_f1,weighted_f1,mae,qwk,adj_acc
koclip_frozen,0,0.3263946711074105,0.3118602901015282,0.328953841751786,1.3276436303080763,0.1664499942748991,0.6407160699417153
koclip_frozen,1,0.2929166666666666,0.2167553574025276,0.2607281400015716,1.38375,0.0925903629239109,0.5895833333333333
koclip_frozen,2,0.3290349417637271,0.3103308648267817,0.3311795257280784,1.3544093178036605,0.1745875825687552,0.632279534109817
koclip_frozen,3,0.3377759266972095,0.3211130389585085,0.339063828244266,1.3102873802582258,0.1893287982725371,0.6501457725947521
koclip_frozen,4,0.3240432612312812,0.3070781486491559,0.3258542969421427,1.3631447587354408,0.1501212375133609,0.6268718801996672
koclip_ft,0,0.4458784346378018,0.4273543642486266,0.444602471954858,1.1128226477935057,0.2408531874131005,0.697751873438801
koclip_ft,1,0.4504166666666667,0.4357678513959454,0.4537013730879056,1.0883333333333334,0.298953234004673,0.7158333333333333
koclip_ft,2,0.4596505823627287,0.4390607442215073,0.4583734156648468,1.026206322795341,0.3328724716582789,0.7279534109816972
koclip_ft,3,0.4543940024989588,0.436024978932465,0.4528887559384894,1.0279050395668472,0.3277595274752097,0.7309454394002499
koclip_ft,4,0.4779534109816972,0.4566164279961192,0.4771889910082107,1.0178868552412643,0.3336136297688101,0.7250415973377704
koclip_sim,0,0.2814321398834304,0.195226727556784,0.24431284229052,1.144879267277269,0.215630750662755,0.6698584512905912
koclip_sim,1,0.2895833333333333,0.2001112675842226,0.2504942651386521,1.1191666666666666,0.2461739700587982,0.6829166666666666
koclip_sim,2,0.2970049916805324,0.2046552548626908,0.2587117750181624,1.135191347753744,0.2237476847132253,0.6713810316139767
koclip_sim,3,0.295710120783007,0.206256215702953,0.2555935873158313,1.1112036651395252,0.249364305541519,0.6768013327780091
koclip_sim,4,0.2924292845257903,0.1995031813240941,0.2529211007542386,1.1530782029950084,0.1983454872941084,0.6713810316139767
koclip_svm,0,0.4313072439633638,0.4030851310858359,0.4296270605945305,1.0587010824313072,0.3017621556287465,0.7148209825145712
koclip_svm,1,0.4479166666666667,0.4296487475990869,0.4490641786395835,1.0404166666666668,0.3280906659954626,0.71625
koclip_svm,2,0.4338602329450915,0.4083981780827329,0.4337441996344017,1.045757071547421,0.3214567742545107,0.7225457570715474
koclip_svm,3,0.4339858392336526,0.4147781896470134,0.4362675992456264,1.0508121615993335,0.3271907854995146,0.7209496043315285
koclip_svm,4,0.4658901830282861,0.4400385827592797,0.4640735969162408,1.0091514143094842,0.3198956803364007,0.7312811980033278
koclip_xgb,0,0.4467110741049125,0.402476689616636,0.4358300187778153,1.0541215653621985,0.2810433626206035,0.7144046627810158
koclip_xgb,1,0.4595833333333333,0.4340316754999578,0.4548945206998491,1.0270833333333331,0.3242695444984438,0.7204166666666667
koclip_xgb,2,0.4629783693843594,0.4224165475785447,0.4526237600886584,1.0149750415973378,0.3221010662762064,0.7292013311148087
koclip_xgb,3,0.4552269887546855,0.4136508443382084,0.4464820971559886,1.037484381507705,0.3013021818462055,0.7159516867971678
koclip_xgb,4,0.4754575707154742,0.4293686631010344,0.4631409077776099,1.0008319467554077,0.3261770128984669,0.7292013311148087
majority,0,0.3184845961698584,0.0966214082728133,0.1538621509756499,1.541631973355537,0.0,0.5537052456286428
majority,1,0.31875,0.0966824644549763,0.1540876777251185,1.5404166666666668,0.0,0.5541666666666667
majority,2,0.3186356073211314,0.0966561514195583,0.1539904575444711,1.5403494176372712,0.0,0.5544925124792013
majority,3,0.3186172428154935,0.096651926721415,0.1539748520239119,1.5414410662224074,0.0,0.5539358600583091
majority,4,0.3190515806988352,0.0967518133081047,0.154344094857147,1.5399334442595674,0.0,0.5544925124792013
random_stratified,0,0.2302248126561199,0.2052365920190065,0.2303008432710765,1.5349708576186512,0.0115707847579551,0.5453788509575354
random_stratified,1,0.23625,0.2052716805769491,0.2363232563945672,1.5445833333333334,-0.0024674276820368,0.5383333333333333
random_stratified,2,0.2279534109816971,0.1975785348682892,0.22686000081387,1.5715474209650582,-0.0109765700392236,0.5270382695507487
random_stratified,3,0.2203248646397334,0.1972065289309515,0.2211714775953465,1.5735110370678884,-0.0029048383810466,0.5318617242815493
random_stratified,4,0.228369384359401,0.2000582541984223,0.2289065605165705,1.5449251247920133,0.0162295083707061,0.5386855241264559
